Cód. Modular;Gestión;Nombre IE;Nivel;Distrito;Director(a);Últ. Acceso
1705532;Pública de gestión directa;CIUDAD DE LOS PIONEROS;Inicial - Jardín;Cayma;SANTOS PUENTE DE LA VEGA LEONOR;2024-08-08 00:01:13
0697375;Pública de gestión directa;CIUDAD MUNICIPAL;Inicial - Jardín;Cerro Colorado;CUTIPA GONZALES ELIZABETH;2024-08-21 16:32:31
0898510;Pública de gestión directa;CIUDAD MUNICIPAL;Técnico Productiva;Cerro Colorado;Arroyo Rivera Elizabeth Sheila;2024-06-04 18:28:32
1759125;Pública de gestión directa;CIUDAD MUNICIPAL - ZONA 9;Inicial - Jardín;Cerro Colorado;VARGAS MEDINA CLARA MARIA;2024-08-21 22:45:04
1673094;Pública de gestión directa;COMPLEJO HABITACIONAL DEAN BALDIVIA SECTOR 12;Primaria;Cayma;CALLE MINAYA EUDOSIA TOMASA;2024-08-21 06:08:40
1567627;Pública de gestión directa;COMPLEJO HABITACIONAL DEAN BALDIVIA SECTOR 12;Inicial - Jardín;Cayma;CALLE MINAYA EUDOSIA TOMASA;2024-08-21 06:08:40
0617324;Pública de gestión directa;CONGATA;Inicial - Jardín;Uchumayo;ALEMÁN DELGADO MARISOL CARMEN;2024-08-20 13:28:53
1799584;Pública de gestión directa;CREBE UGEL AREQUIPA NORTE;Básica Especial;Arequipa;Fernández  Sánchez Mary Isabel ;2024-08-05 14:15:09
0899369;Pública de gestión directa;CRISTO MORADO;Secundaria;Cerro Colorado;CALA GONZALES JUAN DE LA CRUZ;2024-08-21 14:43:37
0310706;Pública de gestión directa;DEAN VALDIVIA;Técnico Productiva;Cayma;ESPETTIA GUEVARA ELIZABETH;2024-08-02 11:43:54
1647148;Pública de gestión directa;DIVINO NIÑO;Inicial - Jardín;Sachaca;SERRANO ABARCA MAGNOLIA ROSARIO;2024-08-20 21:12:29
1755867;Pública de gestión directa;DIVINO NIÑO ALTO LIBERTAD;Primaria;Cerro Colorado;MERCADO VALDIVIA MATILDE ORIETTA;2024-08-21 22:35:20
